"filename", "language", "CUDA C++", "C++", "Makefile", "Markdown", "Shell Script", "comment", "blank", "total"
"/home/main/Documents/hila/libraries/vectorclass/instrset_detect.cpp", "C++", 0, 113, 0, 0, 0, 35, 20, 168
"/home/main/Documents/hila/libraries/vectorclass/vector_convert.h", "CUDA C++", 375, 0, 0, 0, 0, 94, 106, 575
"/home/main/Documents/hila/libraries/vectorclass/vectorclass.h", "CUDA C++", 44, 0, 0, 0, 0, 30, 13, 87
"/home/main/Documents/hila/libraries/vectorclass/vectorf128.h", "CUDA C++", 2024, 0, 0, 0, 0, 618, 323, 2965
"/home/main/Documents/hila/libraries/vectorclass/vectorf256.h", "CUDA C++", 2119, 0, 0, 0, 0, 569, 343, 3031
"/home/main/Documents/hila/libraries/vectorclass/vectorf256e.h", "CUDA C++", 1181, 0, 0, 0, 0, 480, 279, 1940
"/home/main/Documents/hila/libraries/vectorclass/vectorf512.h", "CUDA C++", 1358, 0, 0, 0, 0, 431, 263, 2052
"/home/main/Documents/hila/libraries/vectorclass/vectorf512e.h", "CUDA C++", 1227, 0, 0, 0, 0, 444, 262, 1933
"/home/main/Documents/hila/libraries/vectorclass/vectori128.h", "CUDA C++", 5044, 0, 0, 0, 0, 1304, 678, 7026
"/home/main/Documents/hila/libraries/vectorclass/vectori256.h", "CUDA C++", 4167, 0, 0, 0, 0, 1016, 556, 5739
"/home/main/Documents/hila/libraries/vectorclass/vectori256e.h", "CUDA C++", 2564, 0, 0, 0, 0, 882, 501, 3947
"/home/main/Documents/hila/libraries/vectorclass/vectori512.h", "CUDA C++", 1440, 0, 0, 0, 0, 437, 236, 2113
"/home/main/Documents/hila/libraries/vectorclass/vectori512e.h", "CUDA C++", 1469, 0, 0, 0, 0, 565, 301, 2335
"/home/main/Documents/hila/libraries/vectorclass/vectori512s.h", "CUDA C++", 1540, 0, 0, 0, 0, 487, 268, 2295
"/home/main/Documents/hila/libraries/vectorclass/vectori512se.h", "CUDA C++", 1318, 0, 0, 0, 0, 469, 284, 2071
"/home/main/Documents/hila/libraries/vectorclass/vectormath_common.h", "CUDA C++", 161, 0, 0, 0, 0, 70, 40, 271
"/home/main/Documents/hila/libraries/vectorclass/vectormath_exp.h", "CUDA C++", 1515, 0, 0, 0, 0, 350, 361, 2226
"/home/main/Documents/hila/libraries/vectorclass/vectormath_hyp.h", "CUDA C++", 447, 0, 0, 0, 0, 154, 117, 718
"/home/main/Documents/hila/libraries/vectorclass/vectormath_lib.h", "CUDA C++", 1760, 0, 0, 0, 0, 138, 129, 2027
"/home/main/Documents/hila/libraries/vectorclass/vectormath_trig.h", "CUDA C++", 520, 0, 0, 0, 0, 209, 165, 894
"/home/main/Documents/hila/submit_scripts/submit_lumi.sh", "Shell Script", 0, 0, 0, 0, 3, 9, 7, 19
"/home/main/Documents/hila/unit_tests/Makefile", "Makefile", 0, 0, 19, 0, 0, 1, 10, 30
"/home/main/Documents/hila/unit_tests/README.md", "Markdown", 0, 0, 0, 71, 0, 0, 27, 98
"/home/main/Documents/hila/unit_tests/src/catch.hpp", "C++", 0, 13708, 0, 0, 0, 1117, 3146, 17971
"/home/main/Documents/hila/unit_tests/src/catch_main.cpp", "C++", 0, 13, 0, 0, 0, 2, 3, 18
"/home/main/Documents/hila/unit_tests/src/test_array.cpp", "C++", 0, 170, 0, 0, 0, 0, 12, 182
"/home/main/Documents/hila/unit_tests/src/test_cmplx.cpp", "C++", 0, 189, 0, 0, 0, 0, 12, 201
"/home/main/Documents/hila/unit_tests/src/test_coordinates.cpp", "C++", 0, 118, 0, 0, 0, 4, 7, 129
"/home/main/Documents/hila/unit_tests/src/test_field.cpp", "C++", 0, 132, 0, 0, 0, 1, 16, 149
"/home/main/Documents/hila/unit_tests/src/test_lattice.cpp", "C++", 0, 5, 0, 0, 0, 0, 1, 6
"/home/main/Documents/hila/unit_tests/src/test_matrix.cpp", "C++", 0, 229, 0, 0, 0, 0, 18, 247
"/home/main/Documents/hila/unit_tests/src/test_real_var_ops.cpp", "C++", 0, 38, 0, 0, 0, 0, 3, 41
"Total", "-", 44724, 27255, 627, 674, 113, 18740, 16964, 109097
